# Dead RPCs Graveyard - 2026-05-10

> This file tracks confirmed dead RPC endpoints.
> An RPC is "dead" when RPS=0 or it returns connection errors (not "needs key").
> Last updated: 2026-05-10

## ethereum (7 dead)
| RPC | URL | Last RPS | Error | Date |
|-----|-----|----------|-------|------|
| Alchemy | https://eth-mainnet.g.alchemy.com/v2/demo | 0 | Requires API key | 2026-04-26 |
| Infura | https://mainnet.infura.io/v3/ | 0 | Requires API key | 2026-04-26 |
| QuickNode | https://*.quiknode.pro/ | 0 | Requires API key | 2026-04-26 |
| NodeReal | https://eth-mainnet.nodereal.io/v1/ | 0 | Requires API key | 2026-04-26 |
| BlockPi | https://ethereum.blockpi.network/v1/rpc/public | 0 | No response | 2026-04-26 |
| GetBlock | https://eth.getblock.io/ | 0 | Requires API key | 2026-04-26 |
| Pocket | https://eth-rpc.gateway.pokt.network | 0 | Connection failed | 2026-04-26 |

## arbitrum (6 dead)
| RPC | URL | Last RPS | Error | Date |
|-----|-----|----------|-------|------|
| BlockPi | https://arbitrum.blockpi.network/v1/rpc/public | 0 | No response | 2026-04-26 |
| QuickNode | https://*.quiknode.pro/ | 0 | Requires API key | 2026-04-26 |
| Alchemy | https://arb-mainnet.g.alchemy.com/v2/demo | 0 | Requires API key | 2026-04-26 |
| Infura | https://arbitrum-mainnet.infura.io/v3/ | 0 | Requires API key | 2026-04-26 |
| Blast | https://arbitrum-mainnet.public.blastapi.io | 0 | Connection failed | 2026-04-26 |
| Offchain | https://arb1.offchain.cc | 0 | Connection failed | 2026-04-26 |

## polygon (7 dead)
| RPC | URL | Last RPS | Error | Date |
|-----|-----|----------|-------|------|
| Polygon | https://polygon-rpc.com | 0 | Tenant disabled | 2026-04-26 |
| MaticVigil | https://rpc-mainnet.maticvigil.com | 0 | Service shut down | 2026-04-26 |
| BlockPi | https://polygon.blockpi.network/v1/rpc/public | 0 | No response | 2026-04-26 |
| PublicNode | https://polygon-rpc.publicnode.com | 0 | No response | 2026-04-26 |
| QuickNode | https://*.quiknode.pro/ | 0 | Requires API key | 2026-04-26 |
| Alchemy | https://polygon-mainnet.g.alchemy.com/v2/demo | 0 | Requires API key | 2026-04-26 |
| Infura | https://polygon-mainnet.infura.io/v3/ | 0 | Requires API key | 2026-04-26 |

## optimism (4 dead)
| RPC | URL | Last RPS | Error | Date |
|-----|-----|----------|-------|------|
| BlockPi | https://optimism.blockpi.network/v1/rpc/public | 0 | No response | 2026-04-26 |
| QuickNode | https://*.quiknode.pro/ | 0 | Requires API key | 2026-04-26 |
| Alchemy | https://opt-mainnet.g.alchemy.com/v2/demo | 0 | Requires API key | 2026-04-26 |
| Infura | https://optimism-mainnet.infura.io/v3/ | 0 | Requires API key | 2026-04-26 |

## solana (5 dead) — confirmed 2026-05-10
| RPC | URL | Last RPS | Error | Date |
|-----|-----|----------|-------|------|
| PublicNode | https://solana-rpc.publicnode.com | 0 | Timeout | 2026-05-10 |
| Helius Kamino | https://helius-rpc.kamino.com/ | 0 | Timeout | 2026-05-10 |
| DRPC | https://solana.drpc.org | 0 | Timeout | 2026-05-10 |
| Helius Drift | https://kora-8cwrc2-fast-mainnet.helius-rpc.com/ | 0 | Timeout | 2026-05-10 |
| Helius Jupiter | https://grateful-jerrie-fast-mainnet.helius-rpc.com | 0 | Timeout | 2026-05-10 |

## base (1 dead) — confirmed 2026-05-10
| RPC | URL | Last RPS | Error | Date |
|-----|-----|----------|-------|------|
| MeowRPC | https://base.meowrpc.com | 0 | No response / timeout | 2026-05-10 |

## cronos (1 dead) — confirmed 2026-05-10
| RPC | URL | Last RPS | Error | Date |
|-----|-----|----------|-------|------|
| Ankr | https://rpc.ankr.com/cronos | 0 | No response | 2026-05-10 |

## etc (1 dead) — confirmed 2026-05-10
| RPC | URL | Last RPS | Error | Date |
|-----|-----|----------|-------|------|
| Ankr | https://rpc.ankr.com/ethereumclassic | 0 | No response | 2026-05-10 |

## iotex (3 dead) — confirmed 2026-05-10
| RPC | URL | Last RPS | Error | Date |
|-----|-----|----------|-------|------|
| IoTeX Official | https://iotexrpc.com | 0 | No response | 2026-05-10 |
| Ankr | https://rpc.ankr.com/iotex | 0 | No response | 2026-05-10 |
| IoTeX Old | https://rpc.iotex.io | 0 | No response | 2026-05-10 |

## klaytn (1 dead) — confirmed 2026-05-10
| RPC | URL | Last RPS | Error | Date |
|-----|-----|----------|-------|------|
| Klaytn | https://klaytn.blockchainapi.or.kr/mainnet/klaytn | 0 | No response | 2026-05-10 |

## moonbeam (1 dead) — confirmed 2026-05-10
| RPC | URL | Last RPS | Error | Date |
|-----|-----|----------|-------|------|
| BlockPi | https://moonbeam.blockpi.network/v1/rpc/public | 0 | No response | 2026-05-10 |

## Summary
- Total Dead RPCs: 37 (confirmed from live testing)
- True Dead (public, no key needed): 13 (confirmed 2026-05-10) + previous confirmed
- Needs API Key: 24 (Alchemy, Infura, QuickNode, GetBlock, NodeReal, Coinbase CDP, Phantom across chains)
